Requirement Text,Requirement Type,Source Dataset
"The system shall implement access control measures, such as secure validation methods on the cabin door.",Non-Functional,GitHub SRS
"The system shall ensure user authentication, allowing access only through valid and secure validation processes.",Non-Functional,GitHub SRS
The system shall ensure secure placement to prevent unauthorized access.,Non-Functional,GitHub SRS
The system shall implement measures to prevent unauthorized physical or digital access.,Non-Functional,GitHub SRS
The system shall provide emergency communication options for residents both inside and outside the home.,Non-Functional,GitHub SRS
"The system shall implement stringent access controls, possibly using biometric authentication or secure access codes.",Non-Functional,GitHub SRS
"The system shall enforce robust user authentication, allowing access only through verified and authorized methods.",Non-Functional,GitHub SRS
"The system shall ensure continuous availability, allowing users to control and monitor devices 24/7 without interruptions.",Non-Functional,GitHub SRS
The system shall maximize security measures to prevent unauthorized network access and ensure the integrity and privacy of user data.,Non-Functional,GitHub SRS
"The system shall restrict access to maintainers only for connecting new devices to the network, ensuring controlled and authorized system expansions.",Non-Functional,GitHub SRS
The system shall refresh the display every 60 seconds.,Performance,Kaggle Extended
The application shall match the color of the schema set forth by Department of Homeland Security,Look And Feel,Kaggle Extended
If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,Usability,Kaggle Extended
The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,Availability,Kaggle Extended
If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,Usability,Kaggle Extended
The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,Security,Kaggle Extended
The product shall be intuitive and self-explanatory.,Usability,Kaggle Extended
The product shall respond fast to keep up-to-date data in the display.,Performance,Kaggle Extended
The system shall have a MDI form that allows for the viewing of the graph and the data table.,Functional,Kaggle Extended
The system shall display Events in a vertical table by time.,Functional,Kaggle Extended
The system shall display the Events in a graph by time.,Functional,Kaggle Extended
All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,Legal,Kaggle Extended
The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,Legal,Kaggle Extended
All actions that modify an existing dispute case must be recorded in the case history.,Legal,Kaggle Extended
The Disputes System must be accessible by both internal and external users.,Functional,Kaggle Extended
The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,Functional,Kaggle Extended
The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,Functional,Kaggle Extended
The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,Functional,Kaggle Extended
The Disputes System shall provide view access capability for authorized users of the application.,Functional,Kaggle Extended
The Disputes System shall provide update access capability for authorized users of the application.,Functional,Kaggle Extended
The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,Functional,Kaggle Extended
The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,Functional,Kaggle Extended
The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,Functional,Kaggle Extended
The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,Functional,Kaggle Extended
The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,Functional,Kaggle Extended
The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,Functional,Kaggle Extended
The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,Functional,Kaggle Extended
The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.,Functional,Kaggle Extended
The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,Functional,Kaggle Extended
The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,Functional,Kaggle Extended
The Disputes System must provide the ability to view existing dispute cases.,Functional,Kaggle Extended
The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,Functional,Kaggle Extended
A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.,Functional,Kaggle Extended
The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,Functional,Kaggle Extended
The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,Functional,Kaggle Extended
The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.,Functional,Kaggle Extended
For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,Functional,Kaggle Extended
All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,Functional,Kaggle Extended
Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,Functional,Kaggle Extended
The product must support Internet Explorer 5.5 and above.,Operational,Kaggle Extended
The product must support Mozilla Firefox 1.0 and above.,Operational,Kaggle Extended
The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.,Operational,Kaggle Extended
The product shall run on the existing hardware for all environments.,Operational,Kaggle Extended
The product shall adhere to the corporate Architecture guidelines,Operational,Kaggle Extended
The product shall comply with corporate User Interface Guidelines,Look And Feel,Kaggle Extended
The product shall comply with corporate color scheme,Look And Feel,Kaggle Extended
The appearance of the product shall appear professional,Look And Feel,Kaggle Extended
The software product is expected to run on Windows or Linux platforms.,Portability,Kaggle Extended
The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,Usability,Kaggle Extended
The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,Usability,Kaggle Extended
Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,Usability,Kaggle Extended
The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,Usability,Kaggle Extended
The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,Usability,Kaggle Extended
The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.,Performance,Kaggle Extended
The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,Performance,Kaggle Extended
The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.,Performance,Kaggle Extended
The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,Performance,Kaggle Extended
The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,Availability,Kaggle Extended
The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,Availability,Kaggle Extended
The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,Scalability,Kaggle Extended
The average number of recycled parts records per day shall be 50 000.,Scalability,Kaggle Extended
The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,Scalability,Kaggle Extended
For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,Operational,Kaggle Extended
The product shall interface with the ChoiceParts system once per day at approximately 1,Operational,Kaggle Extended
The maintenance of the product will fall within the established corporate maintenance windows.,Operational,Kaggle Extended
The product shall be supported using the corporate support center.,Operational,Kaggle Extended
Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,Operational,Kaggle Extended
Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,Security,Kaggle Extended
Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,Security,Kaggle Extended
Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.,Security,Kaggle Extended
Only valid data shall be entered into the system.  No invalid data shall be entered into the system.,Security,Kaggle Extended
One insurance company shall not be able to view another insurance companys claim data.,Security,Kaggle Extended
The product shall free of computer viruses.,Security,Kaggle Extended
The system shall prevent malicious attacks including denial of service.,Security,Kaggle Extended
The product must comply with Sarbanes-Oxley.,Legal,Kaggle Extended
The product shall comply with the estimatics laws relating to recycled parts usage.,Legal,Kaggle Extended
The product shall comply with insurance regulations regarding claims processing.,Legal,Kaggle Extended
The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,Functional,Kaggle Extended
The vehicle data shall include vehicle year  make  and model,Functional,Kaggle Extended
The vehicle location shall include street address  city  state  and zipcode,Functional,Kaggle Extended
The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.,Functional,Kaggle Extended
The search radius shall be between 1 and 30 miles,Functional,Kaggle Extended
The system shall locate the preferred repair facility with the highest ratings for the input criteria,Functional,Kaggle Extended
The adjuster shall enter the preferred repair facility on the estimate assignment.,Functional,Kaggle Extended
The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,Functional,Kaggle Extended
The preferred repair facility shall be returned to the user.,Functional,Kaggle Extended
The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,Functional,Kaggle Extended
The estimator shall search for available recycled parts using damaged vehicle parts information.,Functional,Kaggle Extended
The estimator shall search for available recycled parts using a list of preferred parts suppliers.,Functional,Kaggle Extended
The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,Functional,Kaggle Extended
The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,Functional,Kaggle Extended
The system shall retain the available recycled parts and suppliers returned from the search.,Functional,Kaggle Extended
The available recycled parts information and their suppliers shall be returned to the user.,Functional,Kaggle Extended
The estimator shall apply selected recycled parts to the collision estimate.,Functional,Kaggle Extended
The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,Functional,Kaggle Extended
The adjuster shall review the collision estimate.,Functional,Kaggle Extended
The adjuster shall request a recycled parts audit of the collision estimate.,Functional,Kaggle Extended
The recycled parts search results provided to the estimator shall be retrieved by the system.,Functional,Kaggle Extended
The system shall generate an audit report based on the available recycled parts and the collision estimate.,Functional,Kaggle Extended
The audit report shall include the total number of recycled parts used in the estimate.,Functional,Kaggle Extended
The audit report shall include the number of available recycled parts from the original search results.,Functional,Kaggle Extended
The audit report shall include the percentage of available recycled parts used in the estimate,Functional,Kaggle Extended
The audit report shall include the total score of the audit which sums the indivual line items.,Functional,Kaggle Extended
The audit report shall be displayed to the user.,Functional,Kaggle Extended
The audit report shall be available to other adjusters at later points in time.,Functional,Kaggle Extended
The user shall select to view the preferred repair facility ratings.,Functional,Kaggle Extended
The current repair facility ratings shall be displayed to the user.,Functional,Kaggle Extended
The system will display a blank set of ratings if there are not ratings yet defined.,Functional,Kaggle Extended
The user shall enter new ratings based on the audit report,Functional,Kaggle Extended
The ratings shall be from a scale of 1-10,Functional,Kaggle Extended
The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,Functional,Kaggle Extended
The user shall select to save the preferred repair facility ratings.,Functional,Kaggle Extended
The preferred repair facility ratings shall be saved by the system.,Functional,Kaggle Extended
The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,Operational,Kaggle Extended
The product will function alongside server software on any operating system where the Java runtime can be installed.,Operational,Kaggle Extended
The product will require collaboration with a database management system (DBMS).  The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,Operational,Kaggle Extended
The product must make use of web/application server technology.  Open source examples include Apache web server  Tomcat  and the JBoss application server.,Operational,Kaggle Extended
A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.,Operational,Kaggle Extended
The product s Look and Feel shall be able to incorporate aspects of the customer s organization such as logo  branding  and identity,Look And Feel,Kaggle Extended
The product shall have a conservative and professional appearance.,Look And Feel,Kaggle Extended
The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,Usability,Kaggle Extended
The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,Usability,Kaggle Extended
The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,Usability,Kaggle Extended
The product shall allow the user to select a chosen language from one of the target market countries.,Usability,Kaggle Extended
The product shall allow for customization of start page and views preferences.,Usability,Kaggle Extended
An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.,Usability,Kaggle Extended
The product shall use a standard navigation menu familiar to most web users.,Usability,Kaggle Extended
The product shall allow for intuitive searching of available conference rooms.,Usability,Kaggle Extended
The product shall conform to the Americans with Disabilities Act.,Usability,Kaggle Extended
The response shall be fast enough to avoid interrupting the user s flow of thought.  90% of tasks shall complete within 5 seconds.  98% of tasks shall complete within 8 seconds.,Performance,Kaggle Extended
Aside from server failure  the software product shall achieve 99.99% up time.,Availability,Kaggle Extended
The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,Fault Tolerance,Kaggle Extended
The product shall be capable of handling up to 1 000 concurrent requests.  This number will increase to 2 000 by Release 2.  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,Scalability,Kaggle Extended
The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.,Scalability,Kaggle Extended
The product shall be expected to operate for at least 5 years for each customer installation.,Scalability,Kaggle Extended
The product shall be used in office environments.,Operational,Kaggle Extended
The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,Operational,Kaggle Extended
The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,Operational,Kaggle Extended
The product must be able to interface with various email servers. The product shall be able to send email.,Operational,Kaggle Extended
The product shall be available for distribution via the Internet as a binary or ZIP file.,Operational,Kaggle Extended
The product shall be available for distribution as a packaged CD.,Operational,Kaggle Extended
The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.,Operational,Kaggle Extended
A new user must be able to be added to the system within 10 minutes.  90% of new users are able to log into the system within 10 minutes.,Usability,Kaggle Extended
The product must be designed using Design Patterns and coding best practices.  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,Maintainability,Kaggle Extended
The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the product s software code.,Maintainability,Kaggle Extended
Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.,Maintainability,Kaggle Extended
Every registered user will have access to the product s support site via the Internet.  70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,Usability,Kaggle Extended
The customer shall be able to easily integrate new building maps with the product throughout the product s lifecycle.  Integration of new maps with the product shall be possible with little to no support from product support staff.,Maintainability,Kaggle Extended
The product shall be translated into foreign languages other than the target market countries  languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market s language.,Usability,Kaggle Extended
The product is expected to integrate with multiple database management systems.  The product will operate with Oracle  SQL Server  DB2  MySQL  HSQL  and MS Access.,Operational,Kaggle Extended
The product shall be able to be installed in any operating environment within 2 days.,Operational,Kaggle Extended
The product shall ensure that only company employees or external users with company-approved user IDs may have product access.  100% of all logons shall be by either company employees or external users with company-approved user IDs.,Security,Kaggle Extended
Only managers are able to perform search queries for reservations by user.  100% of all search queries for reservations by user shall be from logons of only management logons.,Security,Kaggle Extended
The product shall ensure that the database s data corresponds to the data entered by the user.  Each conference room reservation in the system will contain the same information as was entered by the user.,Security,Kaggle Extended
The product shall prevent the input of malicious data.  The product and/or adjacent hardware/software systems  data shall remain 100% uncorrupted each time malicious data is input into the product.,Security,Kaggle Extended
The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data.  The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,Fault Tolerance,Kaggle Extended
The product shall have the ability to receive automatic software updates as new threats emerge.  100% of customers will be able to receive automatic software updates transmitted to the installed product.,Security,Kaggle Extended
The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,Scalability,Kaggle Extended
The product shall be able to display calendar dates and times according to the user s locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,Usability,Kaggle Extended
The product must be developed with the J2SE/J2EE programming language libraries,Operational,Kaggle Extended
The product shall record meeting entries.,Functional,Kaggle Extended
The product will notify employees of meeting invitations.,Functional,Kaggle Extended
The product shall have the ability to send meeting reminders to employees.,Functional,Kaggle Extended
The product shall assign the organizers contact information to each meeting they create.,Functional,Kaggle Extended
The product will record meeting acknowledgements.,Functional,Kaggle Extended
The product shall store new conference rooms.,Functional,Kaggle Extended
The product shall update existing conference rooms.,Functional,Kaggle Extended
The product will be able to delete conference rooms.,Functional,Kaggle Extended
The product shall be able to store new room equipment.,Functional,Kaggle Extended
The product will update existing room equipment.,Functional,Kaggle Extended
The product shall be able to delete room equipment.,Functional,Kaggle Extended
The product shall allow an organizer to invite other employees to meetings.,Functional,Kaggle Extended
Each time a conference room is reserved  the conference room schedule shall be updated to reflect the time and date of the reservation.,Functional,Kaggle Extended
The product shall record the transportation status of equipment reserved.,Functional,Kaggle Extended
The product shall display a map of the company building showing conference room locations.,Functional,Kaggle Extended
The product shall record updated meeting agendas.,Functional,Kaggle Extended
The product shall send a meeting confirmation to the meeting organizer.,Functional,Kaggle Extended
The product shall display room equipment according to search parameters.,Functional,Kaggle Extended
The product shall display conference rooms according to search parameters.,Functional,Kaggle Extended
The product shall record different meeting types.,Functional,Kaggle Extended
The product shall record all the equipment that has been reserved.,Functional,Kaggle Extended
The product shall notify building personnel of equipment transport requests.,Functional,Kaggle Extended
The product will allow priviledged users to view meeting schedules in multiple reporting views.,Functional,Kaggle Extended
The product shall be able to send meeting notifications via different kinds of end-user specified methods.,Functional,Kaggle Extended
The product shall have a customizable Look and Feel.,Functional,Kaggle Extended
The product shall have an intuitive user interface.,Functional,Kaggle Extended
The product will display an available status for unreserved conference rooms.,Functional,Kaggle Extended
Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,Performance,Kaggle Extended
The System shall allow for a minimum of  6 users to work at the same time.,Performance,Kaggle Extended
The System shall utilize currently owned computer equipment.,Operational,Kaggle Extended
The System shall be able to automatically backup business data and restore them on demand.,Operational,Kaggle Extended
The System shall maintain consistent security.  Any changes in user passwords and/or permissions should take affect in all parts of the System.,Security,Kaggle Extended
The System shall granularly control access rights to all major subsystems.  It should be possible to assign access rights to all subsystems independently.,Security,Kaggle Extended
The System shall meet all applicable accounting standards.  The final version of the System must successfully pass independent audit performed by a certified auditor.,Legal,Kaggle Extended
The System shall not require additional third party licenses resulting in royalty fees.,Operational,Kaggle Extended
The System shall allow generation of Inventory Quantity Adjustment documents on demand.,Functional,Kaggle Extended
The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.,Functional,Kaggle Extended
The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,Functional,Kaggle Extended
The System shall allow entering  storing and modifying product formulas.,Functional,Kaggle Extended
Product formulas shall allow use of semi-products  which have own formulas.,Functional,Kaggle Extended
Product formula ingredients shall allow defining substitutionary ingredients.,Functional,Kaggle Extended
Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,Functional,Kaggle Extended
Formula substitutionary ingredients shall be kept in persisted order,Functional,Kaggle Extended
Product shall allow entering  storing and modifying product menus used by POS terminals.,Functional,Kaggle Extended
PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.,Functional,Kaggle Extended
PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,Functional,Kaggle Extended
PME Subsystem shall allow for a product to exist in more than one submenu,Functional,Kaggle Extended
The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.,Functional,Kaggle Extended
The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.,Functional,Kaggle Extended
The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.,Functional,Kaggle Extended
Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.,Performance,Kaggle Extended
Customer shall be able to check the status of their prepaid card  by entering in the PIN number  in under 5 seconds.,Performance,Kaggle Extended
System shall let customers register on the website as a  pay as you go  user in under 5 minutes.,Performance,Kaggle Extended
System shall let customers register on the website as a  unlimited movie subscriber  user in under 10 minutes.,Performance,Kaggle Extended
System shall let existing customers log into the website with their email address and password in under 5 seconds.,Performance,Kaggle Extended
System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.,Performance,Kaggle Extended
System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,Performance,Kaggle Extended
System shall let administrator add/remove movies on the website in under 5 minutes.  Entered movie information will be stored in the database and will now be available on the website.,Performance,Kaggle Extended
System shall let the administrator add/remove categories on the website in under 5 minutes.,Performance,Kaggle Extended
System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,Performance,Kaggle Extended
System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.,Performance,Kaggle Extended
The website shall be attractive to all audiences.  The website shall appear to be fun and the colors should be bright and vibrant.,Look And Feel,Kaggle Extended
The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,Look And Feel,Kaggle Extended
The website design should be modern  clean  and concise.,Look And Feel,Kaggle Extended
The product should be able to be used by 90% of novice users on the Internet.,Usability,Kaggle Extended
Users should only have to navigate through a maximum of 4 pages  to create an account with the website.,Usability,Kaggle Extended
Users should be able to access their streaming movies in under 2 clicks after logging into the website.,Usability,Kaggle Extended
An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.,Usability,Kaggle Extended
An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.,Usability,Kaggle Extended
The product shall retain the customer s buying preferences and information.,Usability,Kaggle Extended
The product shall be easy for customers with novice skills on the  Internet to purchase and watch streaming movies.  Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,Usability,Kaggle Extended
The product shall use symbols and words that are naturally understandable by users familiar with websites,Usability,Kaggle Extended
The website will use standard Internet conventions when interacting with the user.,Usability,Kaggle Extended
Any interface between a user and the automated system shall have a maximum response time of 5 seconds  unless noted by an exception below.,Performance,Kaggle Extended
When purchasing a streaming movie or pre-paid card via credit card  the processing time should have a maximum response time of 15 seconds.,Performance,Kaggle Extended
When streaming a movie  the buffering time should take no longer than 10 seconds (plus any latency on the user s connection.),Performance,Kaggle Extended
While streaming a movie  buffering should only occur if there is latency in the user s connection.,Performance,Kaggle Extended
All credit card information will be secured on the server  and only accessible by authorized Izogn administrators.  Information will be encrypted in the database.,Security,Kaggle Extended
The website shall be available for use 24 hours per day  365 days per year.,Availability,Kaggle Extended
The website shall achieve 99.5% up time.,Availability,Kaggle Extended
All movies shall be streamed on demand  at any time of the day.,Availability,Kaggle Extended
The website shall continue to operate if the streaming server goes down.,Fault Tolerance,Kaggle Extended
The website shall continue to operate if the payment gateway goes down.,Fault Tolerance,Kaggle Extended
The streaming server will support 50 simultaneous streaming connections.,Scalability,Kaggle Extended
The streaming server will support a maximum of 700 movies; new servers can be added to support more movies.,Scalability,Kaggle Extended
The server will support a maximum of 1 000 simultaneous users.,Scalability,Kaggle Extended
The website shall be capable of supporting 100 000 customers.,Scalability,Kaggle Extended
The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.,Maintainability,Kaggle Extended
All aspects of the website shall be accessed by a web browser over the Internet.,Operational,Kaggle Extended
The same hardware supporting the current website will be used to support the new system.,Operational,Kaggle Extended
We must be able to interface with the following browsers,Operational,Kaggle Extended
Website must interface with the CyberSource API to process credit card transactions.,Operational,Kaggle Extended
Website must be fully operational with MSN TV2.,Operational,Kaggle Extended
Movies shall be encoded and streamed via Windows Media Player 9.0.,Operational,Kaggle Extended
Movies shall be encoded for 56k and 256k streams.,Operational,Kaggle Extended
Promotional updates to the website should take a day to update.,Maintainability,Kaggle Extended
Izogn Administrator must be able to update the category listings on the website within 2 minutes.,Performance,Kaggle Extended
Izogn Administrator must be able to add new products to the website within 2 minutes.,Performance,Kaggle Extended
The system will provide a 24 hour 800 toll free number for support to its customers.,Availability,Kaggle Extended
The website will provide a help section with answers and solutions to common problems.,Usability,Kaggle Extended
Velkat staff will be available for phone support between 7am-7pm  M-F to provide technical support to the Izogn administrators.,Availability,Kaggle Extended
The product shall be able to be installed in the specified environment within 1 working day.,Operational,Kaggle Extended
Only registered customers can purchase streaming movies.,Security,Kaggle Extended
A customer can only stream a movie if they purchased it  and are within the 2 day viewing period.,Security,Kaggle Extended
Only authorized personnel can access customer records in the database.,Security,Kaggle Extended
Only administrators can activate a pre-paid card.,Security,Kaggle Extended
Only authorized personnel can access sales information.,Security,Kaggle Extended
The website shall prevent its data from being corrupted when incorrect data is entered in.,Security,Kaggle Extended
The website shall protect itself from intentional abuse  and notify the administrator at all occurrences.,Security,Kaggle Extended
Data integrity scripts will be run on a weekly basis to verify the integrity of the database.,Security,Kaggle Extended
The website shall make its user aware of its information practices before collection data from them via a Privacy Policy  accessible on all pages of the website.,Security,Kaggle Extended
The system shall notify customers of changes to its information policy.,Security,Kaggle Extended
The system shall reveal private information only in compliance with the organization s information policy.,Security,Kaggle Extended
All customer information will be stored on a secure database  accessible only to authorized personnel.,Security,Kaggle Extended
All credit card information will be encrypted in the database.,Security,Kaggle Extended
The streaming server will have anti-virus software to prevent infection of malicious viruses.,Security,Kaggle Extended
The website should cater to all tribes in Nigeria.,Look And Feel,Kaggle Extended
The website shall not be offensive to religious or ethnic groups.,Look And Feel,Kaggle Extended
The website should appeal to all Africans  not only Nigerians.,Look And Feel,Kaggle Extended
The website should use Flash to provide animation on the home page.,Operational,Kaggle Extended
IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies.,Legal,Kaggle Extended
The website will comply with W3C standards.,Legal,Kaggle Extended
The PHP code will comply with PEAR standards.,Legal,Kaggle Extended
The website will allow customers to search for movies by title  actor  or director.,Functional,Kaggle Extended
viewing a movie details  the website will display the movies description  actor  and director entered in by the administrator.,Functional,Kaggle Extended
Website shall request  and authorize credit card payment before allowing a user to stream a movie.,Functional,Kaggle Extended
shall be able to stream purchased movie via Windows Media Player  for up to 2 days aftere purchase date.,Functional,Kaggle Extended
Website shall allow customers to browse movies by categories entered in by izogn administrator.,Functional,Kaggle Extended
Website shall allow customers to view reviews of selected movies by other customers.,Functional,Kaggle Extended
Website shall allow customers to add their own movie review for a selected movie.,Functional,Kaggle Extended
Website shall allow the Izogn administrator to approve a review posted by a customer.,Functional,Kaggle Extended
System will allow customers to pay for a streaming movie with a pre-paid card.,Functional,Kaggle Extended
Website shall allow customers to purchase pre-paid cards of $5  $10  or $20 value either by credit card or mail-in payment option.,Functional,Kaggle Extended
System shall automatically update the main page of the website every Friday  and show the 4 latest movies that have been added to the website.,Functional,Kaggle Extended
