text,type,type_full
User shall be able to maintain a master list of symptoms for patient consultation requests.,F,Functional
User shall be able to add a new symptom.,F,Functional
User shall be able to view and update the details of an existing symptom.,F,Functional
"User shall be able to delete a symptom, only if no consultation request has ever used it.",F,Functional
User shall be able to create a patient profile.,F,Functional
"User shall be able to view and update the details of an existing patient profile, with only the latest details maintained by the system.",F,Functional
"User shall be able to delete a patient profile, provided no consultation requests have been made in the last 3 years.",F,Functional
"Registered patients shall have the ability to raise consultation requests, with options for appointment and offline consultation.",F,Functional
"User shall be able to create a consultation request by entering symptoms, uploading reports, and defining the request mode (offline/appointment).",F,Functional
"For appointment requests, an entry shall be created in the patient appointment file if the appointment is for the next day.",F,Functional
A batch program shall run nightly to create an appointment file for the next 5 days and purge existing files.,F,Functional
A batch program shall periodically predict diseases based on consultation requests using a machine learning algorithm and prioritize the requests.,F,Functional
"Doctors shall see prioritized consultation requests, provide diagnosis, prescribe medicines, and suggest lab requests.",F,Functional
"Chemists shall be able to view open prescriptions assigned to them based on pincode and update the status, with medicines delivered offline to patients.",F,Functional
"Lab in-charge shall be able to view open lab requests, update the status, and perform actual sample collection and lab tests offline, with reports submitted to patients offline.",F,Functional
"Patients shall have the facility to view and print prescriptions and invoices, with admins having the option to print and email prescriptions and invoices.",F,Functional
"Quarterly, patient profiles without consultation requests for the last 3 years and consultation requests more than 3 years old shall be archived to improve performance.",F,Functional
"Every night, a full backup of the system (database and code) shall be taken and sent to a remote site for safekeeping, with backups rotated every 30 days.",F,Functional
Administration shall improve the disease prediction database monthly based on the learning from the prior month.,F,Functional
"The system shall have a login functionality for doctors, patients, chemists, and labs, with default passwords set up by the admin, and users can change passwords and log in using their own credentials.",F,Functional
User shall/will be able to access the system using specified pincodes (zones).,NFR,Non-Functional
User shall/will access the system using a login/user-id and password managed securely.,NFR,Non-Functional
"User shall/will be able to register themselves by filling out a patient profile, generating a unique ID.",NFR,Non-Functional
User shall/will be able to request one or more consultation requests linked back to a specialty.,NFR,Non-Functional
User shall/will be able to view and print prescriptions and invoices.,NFR,Non-Functional
User shall/will be able to view reports such as doctor-wise appointment files and revenue earned per month/quarter/year.,NFR,Non-Functional
"User shall/will have access to a simple and intuitive user interface designed for ease of use, especially for elderly patients.",NFR,Non-Functional
"System shall be able to scale to 10,000+ users (patients) concurrently.",NFR,Non-Functional
"System shall be able to respond to critical processes within defined time limits, including patient registration, consultation requests, and prescription lookup.",NFR,Non-Functional
System shall ensure high availability with 99.999% uptime and regular backups with a cycle of 30 days.,NFR,Non-Functional
System shall securely manage user login credentials and patient data confidentiality.,NFR,Non-Functional
System shall comply with healthcare regulations as defined by the Government of India.,NFR,Non-Functional
System shall support emerging needs based on data analysis.,NFR,Non-Functional
System shall back up data every night and restore backups daily to ensure completeness and correctness.,NFR,Non-Functional
System shall maintain data securely in a fireproof cabinet 25 km away from the hospital.,NFR,Non-Functional
System shall ensure that each specialty has one or more associated doctors.,NFR,Non-Functional
System shall ensure that each doctor is mapped to one and only one specialty.,NFR,Non-Functional
"System shall ensure that each patient consultation request generates one prescription, mapped to one and only one consultation request.",NFR,Non-Functional
System shall ensure that prescriptions are mapped to one and only one chemist or lab based on the patient's pincode.,NFR,Non-Functional
"User shall be able to record sales transactions, including customer information, medicine name, quantity sold, and unit price.",F,Functional
User shall be able to use a barcode scanner or manual entry for sales processes.,F,Functional
"User shall be able to track and analyze sales performance, including total sales, top-selling medicines, and sales trends.",F,Functional
"User shall be able to create purchase orders for medicines from authorized distributors, specifying details like quantity and expiration dates.",F,Functional
System shall automatically update the available quantity of each medicine after a sale is completed.,F,Functional
System shall generate notifications when the stock of a particular medicine falls below a predefined threshold.,F,Functional
"System shall provide tools for tracking and analyzing sales performance, including metrics such as total sales, top-selling medicines, and sales trends over time.",F,Functional
"User shall be able to process returns of medicines to distributors within the specified time frame, recording relevant details such as reasons for return and quantities returned.",F,Functional
System shall automatically adjust the available quantity of returned medicines in the inventory.,F,Functional
"The return process shall update the inventory system to reflect a decrease in the number of available medicines, ensuring accurate stock levels.",F,Functional
"User shall have a secure login mechanism with role-based access control, ensuring that employees can only access functions relevant to their roles.",F,Functional
"User shall have a detailed activity log maintained, capturing actions such as logins, logouts, sales transactions, purchases, and any system operations.",F,Functional
User shall/will be able to interact with the system with responses within two seconds under normal operating conditions.,NFR,Non-Functional
User shall/will be provided with reports generated in a time not exceeding five seconds.,NFR,Non-Functional
User shall/will have access to a system with a mean time between failures of at least 500 hours.,NFR,Non-Functional
"In the event of a failure, the system shall/will recover within five minutes with minimal data loss.",NFR,Non-Functional
User shall/will have sensitive data encrypted during transmission and storage.,NFR,Non-Functional
"User shall/will be subject to role-based access control, restricting access based on assigned roles.",NFR,Non-Functional
User shall/will have passwords stored securely using industry-standard hashing algorithms.,NFR,Non-Functional
User shall/will experience a system capable of supporting the addition of new features without requiring a complete system overhaul.,NFR,Non-Functional
User shall/will experience optimal performance under increased loads through scalability tests.,NFR,Non-Functional
User shall/will interact with an intuitive user interface requiring minimal training.,NFR,Non-Functional
User shall/will receive clear error messages and guidance in case of input errors.,NFR,Non-Functional
User shall/will access a system available 100% of the time during regular business hours.,NFR,Non-Functional
User shall/will be informed in advance of scheduled maintenance to minimize downtime.,NFR,Non-Functional
User shall/will benefit from regular automated backups of the database and system configuration.,NFR,Non-Functional
Backup data shall/will be stored in a geographically separate location to ensure recovery in case of a catastrophic event.,NFR,Non-Functional
User shall/will experience a system designed with built-in fault tolerance to minimize the impact of failures.,NFR,Non-Functional
System shall/will identify dependencies on external services or APIs.,NFR,Non-Functional
User shall be able to create a new account and select Free or Premium membership.,F,Functional
User shall be prompted to sign in to access their account.,F,Functional
User shall have the option to sign out or switch between accounts.,F,Functional
"User shall be limited to 1000 calls per day, with total calls being the sum of all user accounts.",F,Functional
User shall search for locations using city names for weather information.,F,Functional
User shall only have access to US cities and locations within the app.,F,Functional
User shall store one location for Free Users and up to five locations for Premium Users.,F,Functional
User shall have the ability to remove stored locations.,F,Functional
"User shall access a 7-day advance weather prediction for searched and stored cities, in addition to current weather data.",F,Functional
User shall expect Weeble to load within 20 seconds for 90% of the time.,NFR,Non-Functional
User passwords shall be hashed using a key stretching algorithm before storage in the database.,NFR,Non-Functional
The database of Webble shall reliably support up to 20 user accounts and associated data.,NFR,Non-Functional
Webble shall allow a maximum of 10 Premium Users with full access to features.,NFR,Non-Functional
A maximum of 10 Free Users shall be allowed in Webble with limited access to features.,NFR,Non-Functional
Premium Users shall be permitted to make up to 66 calls per day.,NFR,Non-Functional
Free Users shall be allowed to make up to 33 calls per day.,NFR,Non-Functional
Webble shall depict weather information using graphical icons corresponding to the current weather.,NFR,Non-Functional
"An FAQ page shall be provided in Webble to explain terms, functionality, and other relevant information.",NFR,Non-Functional
The design of Webble shall ensure that at least 90% of users can navigate and understand the application after training.,NFR,Non-Functional
"User shall have the ability to search resumes by keywords, job category, and days since posted.",F,Functional
"User shall be able to post jobs with detailed descriptions including job title, company name, location, salary, job type, work type, and required skills.",F,Functional
User shall have the ability to create and edit a company profile.,F,Functional
User shall be able to add a company logo to job postings.,F,Functional
Password resets shall be retrievable by automated email.,F,Functional
Employers and recruiters shall be able to create multiple resume agents to receive daily emails matching their keywords.,F,Functional
Paid features such as making offers bold or highlighting shall be available.,F,Functional
The search resume facility shall be activated by paying a fee based on requirements.,F,Functional
Employer and agency registration shall be facilitated.,F,Functional
Individual or package job adverts shall be purchasable by credit card.,F,Functional
Information on remaining job posting time and CV access shall be reportable.,F,Functional
Confirmation of remaining credits shall be provided after each job posting.,F,Functional
Payment options shall include invoice or credit/debit card.,F,Functional
Company logos shall be attachable to job adverts.,F,Functional
Information on vacancy viewings and applications shall be provided.,F,Functional
Application forms shall be attachable to job adverts.,F,Functional
Jobs shall be postable via external sites if used by the advertiser.,F,Functional
High-quality applications shall be received from a customized job board.,F,Functional
Internal notes on applicants shall be maintainable.,F,Functional
"Online registration and signup for memberships, job packages, postings, or resume database access shall be available.",F,Functional
Quick employer registration shall be possible using email and password.,F,Functional
Multiple registration accounts for colleagues shall be set up.,F,Functional
Autoresponder messages shall be sent for new account notifications.,F,Functional
Password retrieval shall be possible via automated email.,F,Functional
Profile updates shall be allowed at any time.,F,Functional
Resumes or CVs submitted by job seekers shall be viewable and downloadable.,F,Functional
Employers shall be able to create questions for applicants to respond to when applying.,F,Functional
Search agents shall automatically send resumes matching specified criteria via email daily.,F,Functional
Calendar scheduling for meetings shall be provided.,F,Functional
Newsletter subscription or unsubscription shall be possible.,F,Functional
"Job listings shall be customizable to include company info, job type, category, requirements, wages, benefits, and an apply button.",F,Functional
Statistics on views and applicant counts shall be provided for postings.,F,Functional
Video CVs shall be viewable.,F,Functional
"User shall have the ability to search for jobs by keywords, category, and work status.",F,Functional
User shall be able to upload a Video CV of up to 3 minutes.,F,Functional
Applying for a job shall be facilitated with a single click.,F,Functional
"Resume posting capabilities shall include creation, editing, and expiration.",F,Functional
Candidates shall be able to opt-in and create Job Agents to receive daily notifications of matching jobs.,F,Functional
Saving jobs of interest in a queue shall be possible for candidates.,F,Functional
Password retrieval via email shall be automated.,F,Functional
Job Seeker registration shall allow the addition of CV as a Word file to the CV database.,F,Functional
"Login and profile updates, including password reminders, shall be provided.",F,Functional
Jobs by email and email-a-friend features shall be available.,F,Functional
Viewing application history from the profile shall be possible.,F,Functional
An option to remain anonymous on the CV database while allowing employers/agencies to email candidates shall be provided.,F,Functional
A powerful online job search tool shall be included.,F,Functional
Automated banner ads on email headers shall notify job seekers of relevant jobs.,F,Functional
Job seekers shall control the privacy level of their information visible to employers through resume searches.,F,Functional
"Job searching by location, qualification, categories, company, experience, and keywords shall be enabled.",F,Functional
Resumes will have options for private/public/confidential settings.,F,Functional
Contact information will be optionally hidden.,F,Functional
Resumes will be hidden from specific companies.,F,Functional
Multiple qualifications and experiences will be added and submitted.,F,Functional
Photos and Cover Letters will be added to profiles and job applications.,F,Functional
Newsletter subscription and customization options will be provided.,F,Functional
Jobs will be added to a watchlist for later viewing.,F,Functional
Statistics on resume views by interested employers shall be available.,F,Functional
Automated responses to job applications shall be provided.,F,Functional
"Job Search Agents will be added, edited, activated, or deleted.",F,Functional
Arranging job search results by dates or location shall be possible.,F,Functional
"Admin shall manage job seeker and employer profiles, payments, and services.",F,Functional
Messages will be sent to employers and job seekers for subscription-related matters.,F,Functional
Roles and authentication for users shall be provided by admin.,F,Functional
Admin will set criteria for users and manage static content updates.,F,Functional
Email notifications to users based on account status will be sent from the admin panel.,F,Functional
Recent jobs shall be displayed on the homepage.,F,Functional
Newsletter and email sending functionalities to employers and job seekers shall be provided.,F,Functional
Extensive usage statistics for various categories shall be accessible.,F,Functional
Job categories management console shall be available.,F,Functional
Fully customizable graphic elements and templates shall be editable.,F,Functional
"Fees for various features like job posting, premium membership, etc., shall be configurable.",F,Functional
Billing transactions and reports on system sales shall be viewable.,F,Functional
System administrators shall have control over dropdown lists and list boxes throughout the site.,F,Functional
Job seekers and employers will be searched based on various criteria.,F,Functional
"Multiple membership options with varying prices, time periods, and access levels shall be configurable.",F,Functional
"Invoices can be sent to companies, and featured employer showcases can be managed.",F,Functional
"Reports on total system sales, jobs, job seekers, accounting, and order history shall be viewable.",F,Functional
Full lists of job seekers and employers along with their contact information can be printed.,F,Functional
Resumes will be imported directly from an existing database.,F,Functional
Limits for CV views and alerts for abnormal user activity shall be configurable.,F,Functional
Banner management application for serving and tracking banner ads shall be provided.,F,Functional
Database backup and multiple admin setup with file access privileges shall be available.,F,Functional
"User shall be able to access the control panel based on their role as administrator, employer, or job seeker.",NFR,Non-Functional
"User shall be able to subscribe to different membership tiers, such as Silver, Gold, and Diamond, offering varying limits on resume downloads.",NFR,Non-Functional
User shall be able to respond to a limited number of profiles per day as a general job seeker.,NFR,Non-Functional
"User shall be able to make payments securely through integrated payment gateways like PayPal, InterSwitch, etc.",NFR,Non-Functional
"User shall be able to use the application in multiple languages, including English and French.",NFR,Non-Functional
User shall experience a fully dynamic interface where data is fetched from the database.,NFR,Non-Functional
User shall experience smoother page transitions with AJAX-enabled asynchronous page postbacks.,NFR,Non-Functional
"User shall receive clear validation messages on both client and server sides, with failed fields highlighted and focus directed to them.",NFR,Non-Functional
User shall be prompted to verify their email upon registration for added security.,NFR,Non-Functional
"User shall have the option to connect their social media accounts like Facebook, Twitter, and LinkedIn.",NFR,Non-Functional
User shall have a seamless browsing experience across all major web browsers.,NFR,Non-Functional
User shall be able to use the application in both English and French languages.,NFR,Non-Functional
User shall be able to select from various workout sessions available in the app.,F,Functional
"User shall have their daily calorie goals recorded, and reminders will be sent if a workout is missed.",F,Functional
"User shall have the option to create a customized workout plan, with a detailed graph of the workout displayed.",F,Functional
"User shall access a variety of meal plans based on target calorie intake per day, with options for daily or weekly plans.",F,Functional
User shall be able to integrate their Strava account or Fitbit watch to view fitness-related information within the CrossFit app.,F,Functional
User shall share their progress within the app and have the ability to copy custom workout sessions.,F,Functional
User shall use the barcode scanner feature to retrieve detailed information about food products by scanning their barcodes.,F,Functional
"User shall be alerted if they attempt to enter a custom workout name that already exists in the system, prompting them to choose a different name.",F,Functional
"User shall be alerted if they input incorrect or invalid target calories, such as values below a certain threshold or excessively high values.",F,Functional
"User shall be prompted to sign in again and grant permissions if they do not provide access to their account details, ensuring the app has the necessary information.",F,Functional
"User shall be alerted if they provide incomplete information regarding the mealtime cycle of the plan, indicating which form fields are incomplete for correction.",F,Functional
"User will be prompted to grant permission to access the camera if they initially deny access, allowing the app to utilize camera functionality.",F,Functional
"User will be notified if the barcode output is not generated due to an issue, prompting them to retry or seek assistance if needed.",F,Functional
User shall expect the database to update data in less than 1 second to ensure timely information retrieval.,NFR,Non-Functional
User shall experience a UI load time within 30 milliseconds for quick and responsive user interactions.,NFR,Non-Functional
User shall anticipate API responses in less than 2.5 seconds to maintain seamless application functionality.,NFR,Non-Functional
User shall have their meal planner tailored to accommodate their allergies and food choices for safety and dietary preferences.,NFR,Non-Functional
"User shall receive exercise recommendations considering their movement conditions, such as joint pain or fractures, to prevent injury.",NFR,Non-Functional
User shall have their data securely stored in the database with privacy features to prevent data loss and ensure confidentiality.,NFR,Non-Functional
"User shall benefit from a simple UI design with easily navigable screens and features, facilitating user interaction and understanding.",NFR,Non-Functional
"User shall access the application free of charge, as it is non-profit and aimed at benefiting the public without special admin roles or payment gateways.",NFR,Non-Functional
"Crafty kids corner shall include safety tips and guidelines for handling art supplies and performing crafting activities, emphasizing the importance of adult supervision.",F,Functional
"Crafty kids corner shall offer printable resources such as coloring pages, templates, and activity sheets for offline use.",F,Functional
"Crafty kids corner shall incorporate educational elements into activities to promote learning in areas like fine motor skills, creativity, problem-solving, and cultural awareness.",F,Functional
"Crafty kids corner shall implement measures to ensure the safety and privacy of users, particularly children, by adhering to relevant regulations and guidelines regarding online data protection.",F,Functional
"Crafty kids corner shall provide an admin panel for content management, allowing admins to add, edit, or delete projects and tutorials.",F,Functional
Crafty kids corner shall offer user management features in the admin panel for managing accounts and permissions.,F,Functional
Crafty kids corner shall include interactive features where users can comment on projects and engage in discussions.,F,Functional
Crafty kids corner shall include a rating system allowing users to rate projects based on their experience.,F,Functional
Crafty kids corner will be compatible with a wide range of web browsers and devices commonly used by kids and their parents/guardians.,NFR,Non-Functional
Crafty kids corner will provide cross-platform support to ensure a consistent user experience across different operating systems.,NFR,Non-Functional
Crafty kids corner shall have the ability to accommodate increasing numbers of users as the website grows in popularity.,NFR,Non-Functional
Crafty kids corner shall utilize scalable hosting solutions that can handle spikes in traffic without sacrificing performance.,NFR,Non-Functional
Crafty kids corner shall have a modular architecture to easily add new features or expand functionality as needed.,NFR,Non-Functional
Crafty kids corner shall ensure high availability to ensure the website is accessible whenever kids want to engage with it.,NFR,Non-Functional
Crafty kids corner shall implement backup and disaster recovery measures to prevent data loss in case of unforeseen events.,NFR,Non-Functional
"Crafty kids corner shall ensure secure user authentication and data protection, especially for any personal information collected from users or their guardians.",NFR,Non-Functional
Crafty kids corner shall regularly update security measures and patches to protect against vulnerabilities.,NFR,Non-Functional
Crafty kids corner shall feature an intuitive user interface design suitable for each age group.,NFR,Non-Functional
"Crafty kids corner shall include accessibility features such as easy navigation, clear labels, and high contrast for readability.",NFR,Non-Functional
Crafty kids corner shall have a responsive design that adapts to different screen sizes and devices.,NFR,Non-Functional
"Crafty kids corner shall provide ways for users to give feedback, such as ratings or comments, to improve the site's offerings.",NFR,Non-Functional
Crafty kids corner shall incorporate interactive elements to keep children interested and entertained.,NFR,Non-Functional
All content on Crafty kids corner shall be age-appropriate and suitable for children.,NFR,Non-Functional
The system shall validate a new user's account upon registration.,F,Functional
"The system shall allow users to create a new account by providing their name, date of birth, and email id.",F,Functional
The system shall check the eligibility criteria in the database during account creation.,F,Functional
The system shall confirm the successful creation of a new user account.,F,Functional
The system shall enable users to search for information online.,F,Functional
The system shall display the searched information to the user.,F,Functional
The system shall allow users to create boards by providing a name for the board.,F,Functional
The system shall display the created board on the dashboard.,F,Functional
The system shall confirm the successful creation of a board with the desired name.,F,Functional
The system shall enable users to create new pins by manually entering the pin details.,F,Functional
The system shall display the created pin on the dashboard.,F,Functional
The system shall confirm the successful creation of a new pin visible to all users.,F,Functional
The system shall allow users to comment on posts they like.,F,Functional
The system shall enable users to write comments on posts.,F,Functional
The system shall process and display the written comment on the post.,F,Functional
The system shall provide the functionality for users to follow other users.,F,Functional
The system shall allow users to select and follow other users.,F,Functional
The system shall display the list of people the user follows on the dashboard.,F,Functional
The system shall display the list of people the user follows to the followers of those users.,F,Functional
The system shall support customization of user-provided information.,F,Functional
The system shall allow users to change their information at any time.,F,Functional
The system shall process and display the changed user information.,F,Functional
The system shall ensure that the changed user information is visible to all followers.,F,Functional
The system shall provide a notification feature for users to check their notifications.,F,Functional
The system shall allow users to open the notification box and select desired notifications.,F,Functional
"The system shall display the selected notification, showing the pins associated with it.",F,Functional
"The system shall be maintainable by highly professional maintainers, who are solely responsible for updating and adding new features.",NFR,Non-Functional
"The system shall be responsive, ensuring that it promptly follows every command given by the users.",NFR,Non-Functional
"The system shall prioritize usability, aiming for easy use and quick familiarity for end users without the need for training or assistance.",NFR,Non-Functional
"The system shall ensure reliability, earning users' trust with their information.",NFR,Non-Functional
The system shall utilize a database to store user information and data.,NFR,Non-Functional
User shall be able to connect with other people on Quora by sending messages.,F,Functional
"System shall open a new window for users to compose and view messages, retrieving previous messages from the database.",F,Functional
User shall be able to change profile settings or details.,F,Functional
"System shall open a new window with options such as account, privacy, and language settings.",F,Functional
User will be able to log in to their Quora.com account.,F,Functional
"System shall verify user input from the database and proceed accordingly, logging the user into the home page.",F,Functional
User shall be able to sign up for an account on Quora.com.,F,Functional
"System shall display a confirmation popup after the user fills out the form and clicks the submit button, saving the information to the database for further processing.",F,Functional
"The system shall be available at all times, accessible via any web browser, even with low browsing speed.",NFR,Non-Functional
The system shall be available as an application on both Android and iOS platforms.,NFR,Non-Functional
The system shall be accessible on mobile browsers as well.,NFR,Non-Functional
The system shall be compatible with any Windows platform with any version of a web browser.,NFR,Non-Functional
The system shall also be accessible on mini browsers for mobile devices.,NFR,Non-Functional
The Android application version of the software shall require a minimum Android version of 4.2.,NFR,Non-Functional
A commercial database shall be utilized for maintaining the website's database.,NFR,Non-Functional
The application server shall be responsible for maintaining the website.,NFR,Non-Functional
The software design shall prioritize modularity to facilitate efficient maintainability.,NFR,Non-Functional
User will choose between linking a credit or debit card.,F,Functional
System will allow the user to link their card.,F,Functional
"User will input their card details including card number, card type, expiration date, security code, and billing address, and then click on the link card option.",F,Functional
System will display a message indicating that the bank account has been successfully added.,F,Functional
"User will choose from options including searching for their issue, chatting with customer support, asking the community, emailing customer support, or calling customer support.",F,Functional
System will prompt the user to select their issue or write about their problem.,F,Functional
User will submit their issue or problem.,F,Functional
System will display a message confirming that the problem or issue has been submitted successfully.,F,Functional
User will input the email or mobile number associated with their PayPal account.,F,Functional
System will send a one-time password to the provided email or mobile number.,F,Functional
User will input the verification code received.,F,Functional
System will confirm the successful submission of the verification code.,F,Functional
User will input a new password and confirm the password.,F,Functional
System will display a message confirming that the password has been created successfully.,F,Functional
User shall experience a high data transfer rate.,NFR,Non-Functional
System shall maintain uninterrupted connections.,NFR,Non-Functional
System must perform effectively in adverse conditions.,NFR,Non-Functional
System shall automatically log out the user after a period of inactivity.,NFR,Non-Functional
Back-end servers shall only be accessible to authenticated users.,NFR,Non-Functional
The PayPal network must be available 24 hours a day.,NFR,Non-Functional
Only designated maintainers are allowed to connect new users to the PayPal Payment System network and maintain records of all users and transaction status.,NFR,Non-Functional
The user shall have the option to sign up using their Facebook account.,F,Functional
The user shall have the option to sign up using their Google account.,F,Functional
The user shall have the option to sign up using their Office 365 account.,F,Functional
"The user shall be able to sign up by tapping the ""Sign Up"" button and using their email address.",F,Functional
The user shall be able to enter their school year tenure.,F,Functional
The user shall be able to submit their school start date.,F,Functional
The user shall be able to submit their school start time.,F,Functional
"The user shall be able to view their upcoming and current tasks, classes, exams, and reminders.",F,Functional
"The user shall be able to add a new task from the dashboard by tapping on ""NewTask"".",F,Functional
The user shall be able to view the Menu from the dashboard.,F,Functional
The calendar shall be viewable in either week or month format by tapping on a drop-down menu.,F,Functional
"The calendar shall display all tasks, exams, and classes with their details.",F,Functional
"Upon tapping a specific date, the calendar shall display detailed descriptions in the lower screen section.",F,Functional
The calendar shall allow jumping to the current date by tapping the calendar icon in the top right corner of the screen.,F,Functional
The Tasks window shall display all current and upcoming tasks to the user.,F,Functional
"The user shall be able to filter tasks by School Year/Term or Subject by tapping the ""Tasks"" filter at the top of the screen.",F,Functional
The user shall be able to search for a task by tapping the search icon on the top of the screen.,F,Functional
The user shall be able to view past tasks by tapping the three-dotted menu widget on the top right corner of the screen.,F,Functional
"The user shall be able to create a new task by tapping the ""+"" icon in the bottom right corner of the screen.",F,Functional
The user shall be able to select a subject from the Subject drop-down menu when creating a new task.,F,Functional
The user shall be able to add a new subject to the Subject drop-down menu.,F,Functional
"The user shall be able to choose the type of task (Assignment, Reminder, Revision) from a drop-down menu.",F,Functional
The user shall be able to select a due date by tapping on the Date field and choosing a date from the pop-up calendar.,F,Functional
The user shall be able to add a title for the new task.,F,Functional
The user shall be able to enter details about the new task in the Detail field.,F,Functional
"In case of a Revision task, the user shall be able to select the exam the revision is for.",F,Functional
"The user shall be able to save the new task by tapping ""Save"" after filling in all the fields.",F,Functional
"A confirmation message box shall appear before discarding a new task if the user taps ""Close"" without saving.",F,Functional
The Exams screen shall display the user's exams.,F,Functional
The user shall be able to filter exams by School Year/Term or Subject.,F,Functional
The user shall be able to view past exams by tapping a designated menu option on the screen.,F,Functional
The user shall be able to view details of a specific exam by tapping on it in the list.,F,Functional
"The user shall be able to create a new exam by tapping the ""Add"" button.",F,Functional
The user shall be able to add a new academic year/term to add the exam.,F,Functional
The user shall be able to select a subject from a drop-down menu or add a new subject.,F,Functional
The user shall be able to enter the Module for the exam.,F,Functional
The user shall be able to add the date and time for the exam.,F,Functional
The user shall be able to set the Duration of the exam.,F,Functional
The user shall be able to enter their Seat number for the exam.,F,Functional
The user shall be able to enter their Room number for the exam.,F,Functional
"The user shall be able to check a box on ""Resit"" if they are giving the exam again.",F,Functional
"The user shall be able to save all the data by tapping on ""Save"".",F,Functional
"The user shall be able to discard all the changes by tapping on ""Close Exam View"".",F,Functional
The user shall be able to see all the details of the Exam in this module.,F,Functional
"The user shall be able to edit the details of the exam by tapping on ""Edit Schedule"".",F,Functional
The user shall be able to view their Class Schedule and Holidays Schedule in the main screen of this module.,F,Functional
The user shall be able to filter their view by Academic Year/Term or Current.,F,Functional
The user shall be able to edit the Academic Year by tapping on the three-dotted menu.,F,Functional
The user shall be able to add a New Academic Year.,F,Functional
The user shall be able to manage Subjects.,F,Functional
"The user shall be able to add a New Class by tapping on ""Add New Class"".",F,Functional
The user shall be able to select the Year/Term or add a new Year/Term for the class.,F,Functional
The user shall be able to select the Subject from a drop-down box for the class.,F,Functional
The user shall be able to add the Module name for the class.,F,Functional
The user shall be able to add the Classroom number for the class.,F,Functional
The user shall be able to mention the building name for the class.,F,Functional
The user shall be able to add their Teacher Name for the class.,F,Functional
The user shall be able to select if their class Repeats or Does not repeat.,F,Functional
The user shall be able to add the Time and Duration of their Class.,F,Functional
The user shall be able to enter the Start and End dates of their Class.,F,Functional
The user shall be able to either Save or Discard their changes for a New/Edit Academic Year.,F,Functional
The user shall be able to edit the Start and End date of the Academic Year.,F,Functional
"The user shall be able to select Scheduling options: Classes occur on the same day every week, Weekly rotations, Daily rotations.",F,Functional
The user shall be able to add a New Term.,F,Functional
The user shall be able to either Save or Discard their changes for a New/Edit Term.,F,Functional
The user shall be able to enter a Term Name.,F,Functional
The user shall be able to select start and end dates of the Term.,F,Functional
The user shall be able to either Save or Discard their changes for Term.,F,Functional
The user shall be able to change the Academic Year/Term of their Subjects.,F,Functional
The user shall be able to delete their Subjects.,F,Functional
The user shall be able to add or make changes to the Subject Name.,F,Functional
The user shall be able to make changes to the Subject Color.,F,Functional
The user shall be able to either Save or Discard their changes for Subjects.,F,Functional
The system shall be designed to be interactive and provide fast updates.,NFR,Non-Functional
The system shall scale to accommodate increased usage and data volume over time.,NFR,Non-Functional
The system shall respond to highest priority user input or external interrupt and resume previous state upon completion.,NFR,Non-Functional
"The user shall be able to navigate the app intuitively, without requiring external instructions.",NFR,Non-Functional
The system shall acknowledge user actions with confirmation to ensure application reliability for business purposes.,NFR,Non-Functional
"The user shall access the application for installation, updates, and feedback via the Google Play Store.",NFR,Non-Functional
"The system shall render its layout adaptively to different screen sizes, including automatic font size and image adjustments.",NFR,Non-Functional
The system shall prioritize WiFi connection and automatically switch to mobile network when WiFi is unavailable.,NFR,Non-Functional
"The system shall be able to serve 20,000 queries/day, with a significant portion during the 4 peak traffic hours.",NFR,Non-Functional
The system shall prioritize traveler privacy regarding location tracking within the mobility domain.,NFR,Non-Functional
"The system shall support language agnostic operation for portability, including English, Turkish, Finnish, and Italian for the identified replication partners.",NFR,Non-Functional
"The user shall be able to apply lenses, set a timer, enable gridlines, enable flash, and then capture a selfie or photo.",F,Functional
"System shall process the request to the account and upon the other user's acceptance, establish a friendship between these two users.",F,Functional
Snapchat shall utilize Bitmoji app to perform specified actions.,F,Functional
"The system shall allow users to view friends' stories, browse global stories, share stories, take screenshots, and report spam content.",F,Functional
The system shall utilize AI to analyze surroundings and select the appropriate lens based on the analysis.,F,Functional
"The system shall sense any music playing, create an audio fingerprint, and compare it against the database.",F,Functional
"The system shall display a real-time map powered by Mapbox copyrighted by OpenStreetMap and DigitalGlobe, where user's Bitmoji avatar representing them moves according to their location and even simulates driving by entering a car icon.",F,Functional
"Users shall be able to send text messages, pictures, videos, audio recordings, video calls, and play multiplayer games.",F,Functional
The system shall increment the streak counter for daily snapping and reset it to zero upon a break in the chain.,F,Functional
The system shall continuously calculate statistics and update Snapchat scores.,F,Functional
"Upon capturing a selfie, the system shall generate a Snapcode and offer associated actions.",F,Functional
The Memories shall provide cloud-based storage for a limited number of user-uploaded snaps.,F,Functional
"The system shall provide a private section within Memories named ""My Eyes Only"" secured by a user-defined passcode, with the caveat that a forgotten passcode will result in permanent deletion of all data stored within.",F,Functional
"The system shall allow users to search for Snapchatters, location-based stories, and events in their vicinity, along with other functionalities.",F,Functional
"The system shall attempt to match user keywords with its database, displaying related queries and offering a direct contact option for zero matches.",F,Functional
"The system shall allow authorized users to create, update, and delete sensitive user information.",F,Functional
"System shall validate user data, verify credentials, and assign the account to the new user with all new user information upon successful validation.",F,Functional
The system shall provide a social messaging platform where users can create and manage groups with chat functionalities.,F,Functional
User shall be able to determine if a sent snap has been received by the recipient.,F,Functional
Users shall customize their privacy settings to optimize their experience.,NFR,Non-Functional
